tournament,year,n_teams,team,pos,gp,total_pts,obtained_pts
clasificatorias,2025,10,ARG,1,18,54,38
clasificatorias,2025,10,ECU,2,18,54,29
clasificatorias,2025,10,COL,3,18,54,28
clasificatorias,2025,10,URU,4,18,54,28
clasificatorias,2025,10,BRA,5,18,54,28
clasificatorias,2025,10,PAR,6,18,54,28
clasificatorias,2025,10,BOL,7,18,54,20
clasificatorias,2025,10,VEN,8,18,54,18
clasificatorias,2025,10,PER,9,18,54,12
clasificatorias,2025,10,CHI,10,18,54,11
clasificatorias,2021,10,BRA,1,17,51,45
clasificatorias,2021,10,ARG,2,17,51,39
clasificatorias,2021,10,URU,3,18,54,28
clasificatorias,2021,10,ECU,4,18,54,26
clasificatorias,2021,10,PER,5,18,54,24
clasificatorias,2021,10,COL,6,18,54,23
clasificatorias,2021,10,CHI,7,18,54,19
clasificatorias,2021,10,PAR,8,18,54,16
clasificatorias,2021,10,BOL,9,18,54,15
clasificatorias,2021,10,VEN,10,18,54,10
clasificatorias,2017,10,BRA,1,18,54,41
clasificatorias,2017,10,URU,2,18,54,31
clasificatorias,2017,10,ARG,3,18,54,28
clasificatorias,2017,10,COL,4,18,54,27
clasificatorias,2017,10,PER,5,18,54,26
clasificatorias,2017,10,CHI,6,18,54,26
clasificatorias,2017,10,PAR,7,18,54,24
clasificatorias,2017,10,ECU,8,18,54,20
clasificatorias,2017,10,BOL,9,18,54,14
clasificatorias,2017,10,VEN,10,18,54,12
clasificatorias,2013,9,ARG,1,16,48,32
clasificatorias,2013,9,COL,2,16,48,30
clasificatorias,2013,9,CHI,3,16,48,28
clasificatorias,2013,9,ECU,4,16,48,25
clasificatorias,2013,9,URU,5,16,48,25
clasificatorias,2013,9,VEN,6,16,48,20
clasificatorias,2013,9,PER,7,16,48,15
clasificatorias,2013,9,BOL,8,16,48,12
clasificatorias,2013,9,PAR,9,16,48,12
clasificatorias,2009,10,BRA,1,18,54,34
clasificatorias,2009,10,CHI,2,18,54,33
clasificatorias,2009,10,PAR,3,18,54,33
clasificatorias,2009,10,ARG,4,18,54,28
clasificatorias,2009,10,URU,5,18,54,24
clasificatorias,2009,10,ECU,6,18,54,23
clasificatorias,2009,10,COL,7,18,54,23
clasificatorias,2009,10,VEN,8,18,54,22
clasificatorias,2009,10,BOL,9,18,54,15
clasificatorias,2009,10,PER,10,18,54,13
clasificatorias,2005,10,BRA,1,18,54,34
clasificatorias,2005,10,ARG,2,18,54,34
clasificatorias,2005,10,ECU,3,18,54,28
clasificatorias,2005,10,PAR,4,18,54,28
clasificatorias,2005,10,URU,5,18,54,25
clasificatorias,2005,10,COL,6,18,54,24
clasificatorias,2005,10,CHI,7,18,54,22
clasificatorias,2005,10,VEN,8,18,54,18
clasificatorias,2005,10,PER,9,18,54,18
clasificatorias,2005,10,BOL,10,18,54,14
clasificatorias,2001,10,ARG,1,18,54,43
clasificatorias,2001,10,ECU,2,18,54,31
clasificatorias,2001,10,BRA,3,18,54,30
clasificatorias,2001,10,PAR,4,18,54,30
clasificatorias,2001,10,URU,5,18,54,27
clasificatorias,2001,10,COL,6,18,54,27
clasificatorias,2001,10,BOL,7,18,54,18
clasificatorias,2001,10,PER,8,18,54,16
clasificatorias,2001,10,VEN,9,18,54,16
clasificatorias,2001,10,CHI,10,18,54,12
clasificatorias,1997,9,ARG,1,16,48,30
clasificatorias,1997,9,PAR,2,16,48,29
clasificatorias,1997,9,COL,3,16,48,28
clasificatorias,1997,9,CHI,4,16,48,25
clasificatorias,1997,9,PER,5,16,48,25
clasificatorias,1997,9,ECU,6,16,48,21
clasificatorias,1997,9,URU,7,16,48,21
clasificatorias,1997,9,BOL,8,16,48,17
clasificatorias,1997,9,VEN,9,16,48,3
clasificatorias,1993,9,BRA,1,8,16,12
clasificatorias,1993,9,BOL,2,8,16,11
clasificatorias,1993,9,COL,3,6,12,10
clasificatorias,1993,9,URU,4,8,16,10
clasificatorias,1993,9,ARG,5,6,12,7
clasificatorias,1993,9,PAR,6,6,12,6
clasificatorias,1993,9,ECU,7,8,16,5
clasificatorias,1993,9,VEN,8,8,16,2
clasificatorias,1993,9,PER,9,6,12,1
clasificatorias,1989,9,BRA,1,4,8,7
clasificatorias,1989,9,URU,2,4,8,6
clasificatorias,1989,9,BOL,3,4,8,6
clasificatorias,1989,9,CHI,4,4,8,5
clasificatorias,1989,9,COL,5,4,8,5
clasificatorias,1989,9,PAR,6,4,8,4
clasificatorias,1989,9,ECU,7,4,8,3
clasificatorias,1989,9,PER,8,4,8,0
clasificatorias,1989,9,VEN,9,4,8,0
clasificatorias,1985,10,ARG,1,6,12,9
clasificatorias,1985,10,BRA,2,4,8,6
clasificatorias,1985,10,URU,3,4,8,6
clasificatorias,1985,10,PAR,4,4,8,4
clasificatorias,1985,10,CHI,5,4,8,5
clasificatorias,1985,10,PER,6,6,12,8
clasificatorias,1985,10,COL,7,6,12,6
clasificatorias,1985,10,BOL,8,4,8,2
clasificatorias,1985,10,ECU,9,4,8,1
clasificatorias,1985,10,VEN,10,6,12,1
clasificatorias,1981,9,BRA,1,4,8,8
clasificatorias,1981,9,CHI,2,4,8,7
clasificatorias,1981,9,PER,3,4,8,6
clasificatorias,1981,9,URU,4,4,8,4
clasificatorias,1981,9,ECU,5,4,8,3
clasificatorias,1981,9,BOL,6,4,8,2
clasificatorias,1981,9,COL,7,4,8,2
clasificatorias,1981,9,PAR,8,4,8,2
clasificatorias,1981,9,VEN,9,4,8,2
clasificatorias,1977,9,BOL,1,4,8,7
clasificatorias,1977,9,BRA,2,4,8,6
clasificatorias,1977,9,PER,3,4,8,6
clasificatorias,1977,9,CHI,4,4,8,5
clasificatorias,1977,9,URU,5,4,8,4
clasificatorias,1977,9,PAR,6,4,8,3
clasificatorias,1977,9,COL,7,4,8,2
clasificatorias,1977,9,VEN,8,4,8,1
clasificatorias,1977,9,ECU,9,4,8,1
clasificatorias,1973,8,ARG,1,4,8,7
clasificatorias,1973,8,URU,2,4,8,5
clasificatorias,1973,8,CHI,3,3,6,4
clasificatorias,1973,8,PAR,4,4,8,5
clasificatorias,1973,8,COL,5,4,8,5
clasificatorias,1973,8,PER,6,3,6,2
clasificatorias,1973,8,ECU,7,4,8,2
clasificatorias,1973,8,BOL,8,4,8,0
clasificatorias,1969,10,BRA,1,6,12,12
clasificatorias,1969,10,URU,2,4,8,7
clasificatorias,1969,10,PER,3,4,8,5
clasificatorias,1969,10,PAR,4,6,12,8
clasificatorias,1969,10,BOL,5,4,8,4
clasificatorias,1969,10,CHI,6,4,8,4
clasificatorias,1969,10,ARG,7,4,8,3
clasificatorias,1969,10,COL,8,6,12,3
clasificatorias,1969,10,ECU,9,4,8,1
clasificatorias,1969,10,VEN,10,6,12,1
clasificatorias,1965,9,URU,1,4,8,8
clasificatorias,1965,9,ARG,2,4,8,7
clasificatorias,1965,9,CHI,3,4,8,5
clasificatorias,1965,9,ECU,4,4,8,5
clasificatorias,1965,9,PER,5,4,8,4
clasificatorias,1965,9,PAR,6,4,8,3
clasificatorias,1965,9,BOL,7,4,8,2
clasificatorias,1965,9,COL,8,4,8,2
clasificatorias,1965,9,VEN,9,4,8,0
clasificatorias,1961,6,ARG,1,2,4,4
clasificatorias,1961,6,URU,2,2,4,3
clasificatorias,1961,6,COL,3,2,4,3
clasificatorias,1961,6,BOL,4,2,4,1
clasificatorias,1961,6,PER,5,2,4,1
clasificatorias,1961,6,ECU,6,2,4,0
clasificatorias,1957,8,ARG,1,4,8,6
clasificatorias,1957,8,PAR,2,4,8,6
clasificatorias,1957,8,BRA,3,2,4,3
clasificatorias,1957,8,URU,4,4,8,5
clasificatorias,1957,8,BOL,5,4,8,4
clasificatorias,1957,8,PER,6,2,4,1
clasificatorias,1957,8,CHI,7,4,8,2
clasificatorias,1957,8,COL,8,4,8,1
clasificatorias,1953,3,BRA,1,4,8,8
clasificatorias,1953,3,PAR,2,4,8,4
clasificatorias,1953,3,CHI,3,4,8,0
