tournament,year,n_teams,n_rounds,team,pos,gp,total_pts,obtained_pts,stage,final_stage_num
copa rey fahd,1992,4,2,ARG,1,2,6,6,campeon,2
copa rey fahd,1995,6,2,ARG,2,3,9,4,subcampeon,2
copa confederaciones,1997,8,3,BRA,1,5,15,13,campeon,3
copa confederaciones,1997,8,3,URU,4,5,15,9,4to lugar,2
copa confederaciones,1999,8,3,BRA,2,5,15,12,subcampeon,2
copa confederaciones,1999,8,3,BOL,6,3,9,2,fase grupos,1
copa confederaciones,2001,8,3,BRA,4,5,15,5,4to lugar,2
copa confederaciones,2003,8,3,COL,4,5,15,6,4to lugar,2
copa confederaciones,2003,8,3,BRA,5,3,9,4,fase grupos,1
copa confederaciones,2005,8,3,BRA,1,5,15,10,campeon,3
copa confederaciones,2005,8,3,ARG,2,5,15,8,subcampeon,3
copa confederaciones,2009,8,3,BRA,1,5,15,15,campeon,3
copa confederaciones,2013,8,3,BRA,1,5,15,15,campeon,3
copa confederaciones,2013,8,3,URU,4,5,15,7,4to lugar,2
copa confederaciones,2017,8,3,CHI,2,5,15,6,subcampeon,3
