tournament,year,n_teams,n_rounds,team,pos,gp,total_pts,obtained_pts,stage,final_stage_num,,,,,,
campeonato sud,1916,4,1,URU,1,3,6,5,campeon,1,,,,,,
campeonato sud,1916,4,1,ARG,2,3,6,4,subcampeon,1,,,,,,
campeonato sud,1916,4,1,BRA,3,3,6,2,3er lugar,1,,,,,,
campeonato sud,1916,4,1,CHI,4,3,6,1,4to lugar,1,,,,,,
campeonato sud,1917,4,1,URU,1,3,6,6,campeon,1,,,,,,
campeonato sud,1917,4,1,ARG,2,3,6,4,subcampeon,1,,,,,,
campeonato sud,1917,4,1,BRA,3,3,6,2,3er lugar,1,,,,,,
campeonato sud,1917,4,1,CHI,4,3,6,0,4to lugar,1,,,,,,
campeonato sud,1919,4,2,BRA,1,4,8,7,campeon,2,,,,,,
campeonato sud,1919,4,2,URU,2,4,8,5,subcampeon,2,,,,,,
campeonato sud,1919,4,2,ARG,3,3,6,2,3er lugar,1,,,,,,
campeonato sud,1919,4,2,CHI,4,3,6,0,4to lugar,1,,,,,,
campeonato sud,1920,4,1,URU,1,3,6,5,campeon,1,,,,,,
campeonato sud,1920,4,1,ARG,2,3,6,4,subcampeon,1,,,,,,
campeonato sud,1920,4,1,BRA,3,3,6,2,3er lugar,1,,,,,,
campeonato sud,1920,4,1,CHI,4,3,6,1,4to lugar,1,,,,,,
campeonato sud,1921,4,1,ARG,1,3,6,6,campeon,1,,,,,,
campeonato sud,1921,4,1,BRA,2,3,6,2,subcampeon,1,,,,,,
campeonato sud,1921,4,1,URU,3,3,6,2,3er lugar,1,,,,,,
campeonato sud,1921,4,1,PAR,4,3,6,2,4to lugar,1,,,,,,
campeonato sud,1922,5,2,BRA,1,5,10,7,campeon,2,,,,,,
campeonato sud,1922,5,2,PAR,2,5,10,5,subcampeon,2,,,,,,
campeonato sud,1922,5,2,URU,3,4,8,5,3er lugar,1,,,,,,
campeonato sud,1922,5,2,ARG,4,4,8,4,4to lugar,1,,,,,,
campeonato sud,1922,5,2,CHI,5,4,8,1,5to lugar,1,,,,,,
campeonato sud,1923,4,1,URU,1,3,6,6,campeon,1,,,,,,
campeonato sud,1923,4,1,ARG,2,3,6,4,subcampeon,1,,,,,,
campeonato sud,1923,4,1,PAR,3,3,6,2,3er lugar,1,,,,,,
campeonato sud,1923,4,1,BRA,4,3,6,0,4to lugar,1,,,,,,
