tournament,year,n_teams,n_rounds,team,pos,gp,total_pts,obtained_pts,stage,final_stage_num
juegos olimpicos,1924,22,4,URU,1,5,10,10,campeon,4
juegos olimpicos,1928,16,4,URU,1,5,10,9,campeon,4
juegos olimpicos,1928,16,4,ARG,2,5,10,7,subcampeon,4
juegos olimpicos,1936,16,4,PER,5,2,4,4,5to lugar,2
juegos olimpicos,1952,16,4,BRA,5,2,4,2,5to lugar,2
juegos olimpicos,1960,16,3,BRA,6,3,6,4,fase grupos,1
juegos olimpicos,1960,16,3,ARG,7,3,6,4,fase grupos,1
juegos olimpicos,1960,16,3,PER,11,3,6,2,fase grupos,1
juegos olimpicos,1964,14,4,BRA,9,3,6,3,fase grupos,1
juegos olimpicos,1964,14,4,ARG,10,2,4,1,fase grupos,1
juegos olimpicos,1968,16,4,COL,10,3,6,2,fase grupos,1
juegos olimpicos,1968,16,4,BRA,11,3,6,2,fase grupos,1
juegos olimpicos,1972,16,4,COL,11,3,6,2,fase grupos,1
juegos olimpicos,1972,16,4,BRA,13,3,6,1,fase grupos,1
juegos olimpicos,1976,13,4,BRA,4,5,10,5,4to lugar,3
juegos olimpicos,1980,16,4,COL,11,3,6,3,fase grupos,1
juegos olimpicos,1980,16,4,VEN,12,3,6,2,fase grupos,1
juegos olimpicos,1984,16,4,BRA,2,6,12,9,subcampeon,4
juegos olimpicos,1984,16,4,CHI,7,4,8,4,4tos final,2
juegos olimpicos,1988,16,4,BRA,2,6,12,9,subcampeon,4
juegos olimpicos,1988,16,4,ARG,8,4,8,3,4tos final,2
juegos olimpicos,1992,16,4,PAR,7,4,8,4,4tos final,2
juegos olimpicos,1992,16,4,COL,14,3,6,1,fase grupos,1
juegos olimpicos,1996,16,4,ARG,2,6,18,11,subcampeon,4
juegos olimpicos,1996,16,4,BRA,3,6,18,12,3er lugar,3
juegos olimpicos,2000,16,4,CHI,3,6,18,12,3er lugar,3
juegos olimpicos,2000,16,4,BRA,7,4,12,6,4tos final,2
juegos olimpicos,2004,16,4,ARG,1,6,18,18,campeon,4
juegos olimpicos,2004,16,4,PAR,2,6,18,12,subcampeon,4
juegos olimpicos,2008,16,4,ARG,1,6,18,18,campeon,4
juegos olimpicos,2008,16,4,BRA,3,6,18,15,subcampeon,4
juegos olimpicos,2012,16,4,BRA,2,6,18,16,subcampeon,4
juegos olimpicos,2012,16,4,URU,9,3,9,3,fase grupos,1
juegos olimpicos,2016,16,4,BRA,1,6,18,12,campeon,4
juegos olimpicos,2016,16,4,COL,7,4,12,5,4tos final,2
juegos olimpicos,2016,16,4,ARG,11,3,9,4,fase grupos,1
juegos olimpicos,2020,16,4,BRA,1,6,18,14,campeon,4
juegos olimpicos,2020,16,4,ARG,10,3,9,4,fase grupos,1
juegos olimpicos,2024,16,4,PAR,6,4,12,7,4tos final,2
juegos olimpicos,2024,16,4,ARG,7,4,12,6,4tos final,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
